group,address,first_tx,n_2018_LW_calls,first_funder,funder_is_ClusterA,sent_to_A707_ETH,sent_to_A707_when,2026_withdraw_calls,sent_to_our_collectors
SHARED,0x07e3a13f9538c182964d06820dc3203b89f3afd2,2018-08-10 03:38,6,0x73957709695e73fd175582105c44743cf0fb6f2f,yes,0.9444,2026-04-30 04:32,2,0.0503->0x8f55b448@2026-05-03
SHARED,0x16f1617c28c1c7d9f0530fbda214136210292931,2018-08-07 02:02,9,0x73957709695e73fd175582105c44743cf0fb6f2f,yes,0.0,,10,
SHARED,0x1c3cae8e5ea892417b6e152cc3d01c31f6910447,2018-08-10 04:32,2,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,,0.9862,2026-04-30 05:08,1,0.0023->0x8f55b448@2026-05-04; 0.0001->0x5723168b@2026-08-25
SHARED,0x1f22581757166c11b8fb9d0f23ee9ecaf9cce021,2018-08-06 18:48,6,0x4ce9f39d3a0426d8d1f2ad4fcff0b92e86b9b914,yes,0.0737,2026-04-30 04:33,1,0.0106->0x8f55b448@2026-05-04; 0.0001->0x5723168b@2026-08-25
SHARED,0x361060a490776b971f04a386d3b733e718b205b4,2018-08-06 13:23,32,0xeb6d43fe241fb2320b5a3c9be9cdfd4dd8226451,yes,0.0028,2026-04-30 04:43,8,0.0058->0x8f55b448@2026-05-04; 0.0015->0x8d7c20e3@2026-08-24; 0.0000->0x5723168b@2026-09-01
SHARED,0x416f06b253b4cce1c84ac682884644a5ff81659c,2018-08-22 02:54,10,0x56fe30440e7df4f790a49e0dae6e188a72910def,,0.1916,2026-04-30 04:10,8,0.0286->0x8f55b448@2026-05-04; 0.0000->0x5723168b@2026-08-25
SHARED,0x57d375059bc17502e11e45e6491dbe10f9b962ee,2018-08-08 06:13,6,0x67010cc1f6612e40ee6cc8a218d4d531ed0c691a,,0.3522,2026-04-30 04:47,2,0.0134->0x8f55b448@2026-05-04
SHARED,0xac67c8764e19b24afd649520241c035aa9e1dedf,2018-08-06 15:53,12,0xa9c7d31bb1879bff8be25ead2f59b310a52b7c5a,,0.655,2026-04-30 05:37,2,0.0079->0x8f55b448@2026-05-04
SHARED,0xdab5815792d74424336a810ad750f242c60d3b0d,2018-08-08 14:09,3,0x1d1e10e8c66b67692f4c002c0cb334de5d485e41,yes,0.0556,2026-04-30 05:58,1,0.3070->0x8f55b448@2026-05-05
SHARED,0xe9ee1b6fcac6e5d429c3eefb675eef7c211b3512,2018-08-09 12:31,11,0x99808a04908652efa27c6d213991c56b5cff7d56,,0.0,,21,
SHARED,0xfc5f954f29555fda160eb3ca0100c7511acc8e20,2018-08-26 01:58,1,0x9a755332d874c893111207b0b220ce2615cd036f,,0.0,,13,
A707-ONLY (LW player),0x0c61eb66868bbc8b46b843c2a9c7492337d15c88,2018-08-09 08:30,3,0x1d1e10e8c66b67692f4c002c0cb334de5d485e41,yes,0.6685,2026-04-30 06:05,2,
A707-ONLY (LW player),0x1151bc67463e96294af50c56178f4c0f64880709,2018-08-10 13:30,8,0xecd8b3877d8e7cd0739de18a5b545bc0b3538566,yes,0.7683,2026-04-30 05:08,2,
A707-ONLY (LW player),0x42f99e2d1cd1f39a3d1b8b90502f98157baf1e8e,2018-08-09 15:22,3,0xecd8b3877d8e7cd0739de18a5b545bc0b3538566,yes,1.0902,2026-04-30 05:31,1,
A707-ONLY (LW player),0x723172873a0c29d9f70ef6417ec9e10877787bdd,2018-08-07 09:52,2,0x0427a033285b4fde61ac6614787a05e6f1264ee2,,0.007,2026-04-30 04:54,1,
A707-ONLY (LW player),0xe451a991d33d65fd0b5e30ac1f55d5c5c8d7c74f,2018-08-06 20:00,42,0x9a01c93e2d461649e50501a187cff54bcc3ba4f2,,0.0,,12,
A707-ONLY (LW player),0xf105a9b6131aee5b8d4022f6f5a2f13b6173aca5,2018-08-08 11:44,9,0x73957709695e73fd175582105c44743cf0fb6f2f,yes,0.0001,2026-04-30 05:17,5,0.0002->0x5723168b@2026-08-25; 0.0000->0x5723168b@2026-09-06
