creator,n_dead_contracts_unclaimed,eth_stuck,first_created,last_created
0x73b61a56cb93c17a1f5fb21c01cfe0fb23f132c3,6278,465.5258,2018-08-07,2018-12-20
0xae587866822dced0c4b5a0b534ec025b52c4acd0,7116,463.2835,2018-08-07,2018-12-01
0x16e21b702ea2ee0f4dc40e877099c88acd3d27d5,4208,207.4991,2018-08-07,2018-09-15
0x820d115b9c982260edaa1741812d1f85132736b5,1940,72.032,2018-08-07,2018-08-26
0x5167350d082c9ec48ed6fd4c694dea7361269705,1659,62.1523,2018-08-07,2018-09-07
0x7f2f933ee22b802935449911fc8c7f35fb00409c,1245,55.3427,2018-08-07,2018-08-30
0x4d00a9656b9328ff145433706d1c42e387bff236,252,27.2697,2018-08-10,2018-09-13
0xeaa8ab6b7b5d2e7987bbdb494a9647dfb860620a,400,21.2051,2018-08-07,2018-09-24
0x47169f78750be1e6ec2deb2974458ac4f8751714,656,20.8728,2018-08-07,2018-08-10
0x53062a2cb2402919f257a3d520bbef73c3d57673,865,20.0496,2018-08-07,2018-08-10
0x725053e8189995ef55f00bdc8d256afe6743d1c0,300,19.5567,2018-08-10,2018-09-21
0xdd8bcb58e31258a02d3b08f12d0005d481beff96,622,19.5017,2018-08-09,2018-09-25
0x0a40992be4cc0c77a0c599c9fd072fcfd9bc914a,242,19.2249,2018-08-07,2018-08-18
0x26d67505059b93a1c60c3ae6d1855d8cee778253,455,19.2178,2018-08-10,2018-09-04
0xf86186a801a9de3eda93a23f9b2763dadc9c1b32,116,15.57,2018-08-07,2018-08-08
0x2530afcbb0b9c1c2ab8f9fbf7b38569ab31d35da,503,15.3091,2018-08-09,2018-09-13
0x7bb67c1792ce0a5bc69facb4a7f20a44144680a4,268,15.2863,2018-08-10,2018-09-13
0xd11015e37f4efb7ecb8e461b3a2acb22703dbf92,519,14.4332,2018-08-07,2018-08-16
0x05bea250f2d1e288afe9f1eeb5baa5d0ba5a3ca3,401,14.0589,2018-08-07,2018-08-15
0xd558c4799d16334e9cc27110a5e402e88be70028,430,12.5387,2018-08-07,2018-08-16
0x7ec23cd77626d9f8318fbb8460d6eb5b115aeb9e,415,12.4736,2018-08-07,2018-08-16
0x76d804064dfef5dec5ceea4dc6f60efaf16d27eb,340,12.253,2018-08-07,2018-08-10
0x505292c3b1027f87821f6ce9e7a77f3ae8df4ed7,268,11.9717,2018-08-07,2018-09-24
0x6e06469a45fb778efc3d487fdab89850a916ddf0,273,11.5399,2018-08-08,2018-08-24
0xe7eca2a94e9d59848f3c1e1ffaacd881d4c3a4f2,403,11.2387,2018-08-09,2018-09-07
0x29c1d586de4e11e5cd171b5068152f70d734b318,345,10.9821,2018-08-07,2018-08-13
0x9cf53aed4ec2e878301c747b116f940c41b4b595,337,10.5445,2018-08-07,2018-08-10
0x78931c77e417244f283f09eb116a9b98ce57cb4f,62,10.4367,2018-08-09,2018-09-04
0x31b8923a14d021557cc34430d3deafa682956f54,73,9.292,2018-08-07,2018-08-08
0xf9d4b6190fc2542ecc634b5dc7c785bca6aefea2,138,9.1985,2018-08-07,2018-08-10
0xe7555dbb852ce3f63835ae1d2f26e07e509ce5d8,144,8.9551,2018-08-07,2018-08-10
0x6ee8a228a952f062f86e5925d7c53d8774991279,144,8.8422,2018-08-07,2018-08-10
0x942881e604dfba86d68271f53fa815c8f7117ef2,62,8.5371,2018-08-07,2018-08-08
0xeb54f65775e6a2a42e243823d86486a64fd1f0d6,246,7.8769,2018-08-07,2018-08-10
0x01608131723df4b8665f0c27f6d2d77c47d529e1,52,6.6187,2018-08-11,2018-08-17
0xfa002460275f4c35f4658afe5bc2840d68724393,492,6.1152,2018-08-08,2018-08-10
0x2bf90726636273b910ab0ea72cc3a2598aebf1f2,89,5.1879,2018-08-07,2018-08-24
0xd57e98fbbb95fcf791174829a1efe57679eba7a8,42,4.5274,2018-08-07,2018-08-08
0xa56d13fca94aaaa908b5346b3693b21281d2a17a,177,4.2345,2018-08-17,2018-08-17
0xb5f5655e8be6039173fef87191e53c86f799f7ca,96,4.1774,2018-08-08,2018-08-24
0x6e16032b6ae65cc1ec193fad2e5fc870a74abca7,204,3.8283,2018-08-08,2018-08-24
0x2637d146b06d4ce5dc4b47eb8bdac375c972fde0,107,3.7015,2018-08-07,2018-08-16
0x37fd3308ca6eb027533b6ae0fa3b8c3b8aef01d0,62,3.515,2018-08-17,2018-11-05
0xb544e4ceb1cf28ea9362a8fe26697a8a2212d9dd,84,3.3373,2018-08-07,2018-08-10
0x18a1f1f50f0a6aaa8821a7db5cc2f49a66b7154f,61,3.1142,2018-08-17,2018-11-05
0xc08f0868dfe6d7e15806086af3a2c251ac6da1aa,40,3.0856,2018-08-17,2018-08-17
0x000006acbded8c0f48c88d72f2bcda42618fee4b,101,3.0561,2018-08-12,2019-01-26
0xa41866184ab77e8b7e82269d4a5e01e0f4f49295,68,2.9977,2018-08-17,2018-11-05
0xabff45a02dd4babfc722497e9a18c0e747e53440,83,2.8545,2018-08-24,2018-09-21
0x968cd00f12d1cd2c56a139d4fc8ba8fc177f0c3e,79,2.8107,2018-08-07,2018-08-10
0x9d50ed48b13e73bd97ed8877449ea895d1e1dc0a,47,2.7171,2018-08-17,2018-11-05
0xbd634fe139cea1b128b57a6428380560d44f788b,75,2.6773,2018-08-07,2018-08-10
0xce839cdb8d588d40414deff09cd4e977bcd4940e,83,2.6566,2018-08-07,2018-08-10
0x885b09500cbc1c9cbcd0626459385f471ef72d47,54,2.1721,2018-08-09,2018-08-24
0x7ad54ee3255b05392aa52942d946fb0664a6c14e,164,2.1555,2018-08-08,2018-08-10
0xc1a065a2d29995692735c82d228b63df1732030e,90,2.0727,2018-08-08,2018-08-24
0xaa5dd1ac6e16e5f34c88bb7b3d67938d22ebe9a9,61,1.9365,2018-08-09,2018-08-26
0xf31ef7ae2323459ffedd10b4f0b056d51634f5d5,37,1.9162,2018-08-13,2018-09-24
0x9d6bd046a0fb1df5f19d7e822d3115abc54a9cd9,53,1.9064,2018-08-07,2018-08-10
0xe84fd91cbba2fcddc22d96965158ae676dd61d28,107,1.7349,2018-08-08,2018-08-10
0x8d3ef8f58da859514a3627f0c677d4a2f66a2055,73,1.6291,2018-08-08,2018-08-24
0x89e385c90a178d7da75d05719b1f4d9366644d5d,35,1.5083,2018-08-07,2018-08-11
0x218f04bce746c068ece0b0b88f9e9dfd9dda6fdb,65,1.4673,2018-08-09,2018-08-25
0xecfb592b823c666b5b367a114e555ae4724d2ea7,18,1.3667,2018-08-07,2018-08-11
0x0f2f24d9ecc21fec00c9ef065dd3e01010b05568,40,1.327,2018-09-04,2018-09-15
0x867e29a4dd0d5ca0e23eeacd2146df164804c63f,80,1.2817,2018-08-08,2018-08-24
0xe667a9edbe01f7a1adeb189b21fe6dc953893bba,36,1.2461,2018-08-07,2018-08-11
