address,drained_via,withdraw_calls,first_withdraw,last_withdraw,withdraw_burst,eth_pulled_from_LW_contract,looseETH_sweep,lw_vault_balance_snapshot,still_unclaimed_vault,also_drained_by_public_0xA707,lw_participant,touched_lastwinner
0x00012264ba07f5e9bb8bdb42617df9a0ca3a1a3b,withdraw(),1,2026-09-01,2026-09-01,2 (Aug-Sep),9e-06,,9e-06,,,yes,yes
0x0001d879b0b2de810fefdad6c6b634bbcd2d7e85,withdraw()+looseETH,1,2026-08-31,2026-08-31,2 (Aug-Sep),0.015223,Jul(0xa279ffef)+Aug24(0x8d7c20e3),0.015223,,,yes,yes
0x00021ebab3871f17cfb00089a2b0e5bd09c77f4f,looseETH,0,,,,0.0,Aug24(0x8d7c20e3),2.6e-05,yes,,yes,yes
0x0004c3cac4a399d4edae4a157485f2eb28aade92,withdraw(),1,2026-05-03,2026-05-03,1 (Apr-May),0.050229,,,,,yes,yes
0x0008160dcd3c84d2ed373ee4d07adbcb1bc5ac2f,looseETH,0,,,,0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),,,,no,unknown
0x0008554508d59e160982bc1510d4f11fd68d274f,withdraw()+looseETH,1,2026-08-31,2026-08-31,2 (Aug-Sep),0.042408,Jul(0xa279ffef)+Aug24(0x8d7c20e3),0.042408,,,yes,yes
0x0008ea7c782e94cee62f3b8a74f9a7c44cfc183b,withdraw(),1,2026-05-03,2026-05-03,1 (Apr-May),0.034844,,,,,yes,yes
0x000a2db602b45aa2501b1d8a5fed4562c34af4c7,withdraw()+looseETH,1,2026-08-31,2026-08-31,2 (Aug-Sep),0.101889,Jul(0xa279ffef)+Aug24(0x8d7c20e3),0.101889,,,yes,yes
0x000a33d899a7fc27261928b80cc474e4a436efe6,withdraw()+looseETH,1,2026-09-01,2026-09-01,2 (Aug-Sep),0.001081,Jul(0xa279ffef)+Aug24(0x8d7c20e3),0.001081,,,yes,yes
0x000bb840289d1f359f49716ee8a2126bb634be84,withdraw()+looseETH,1,2026-08-31,2026-08-31,2 (Aug-Sep),0.022514,Jul(0xa279ffef)+Aug24(0x8d7c20e3),0.022514,,,yes,yes
0x000e283641df650cba90717bc3504f45218124ec,looseETH,0,,,,0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),,,,no,yes
0x00105cfe9cb5f35c47a0400fea02a05b7fdbfefc,withdraw()+looseETH,1,2026-09-01,2026-09-01,2 (Aug-Sep),0.000197,Jul(0xa279ffef)+Aug24(0x8d7c20e3),0.000197,,,yes,yes
0x00134ae2499771d86c7d47bf0f9b4f2772549edc,looseETH,0,,,,0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),,,,no,unknown
0x001351a77ecd873ae14cf31ad73566de176d693d,withdraw(),1,2026-05-03,2026-05-03,1 (Apr-May),0.001,,,,,yes,yes
0x001439b41dc265b413e0f7ee6e69b23364046516,looseETH,0,,,,0.0,Jul(0xa279ffef),,,,no,unknown
0x0016bd314c992027bbaec3a6f1c19ff64b8353d1,withdraw(),1,2026-05-03,2026-05-03,1 (Apr-May),0.000722,,0.000722,,,yes,yes
0x0017526bb84d9c86b9205d431f9c3605892d0f41,withdraw()+looseETH,1,2026-08-31,2026-08-31,2 (Aug-Sep),0.012566,Aug24(0x8d7c20e3),0.012566,,,yes,yes
0x0018329b0613d665950b53dd930d3b4cb98581b1,withdraw(),1,2026-09-01,2026-09-01,2 (Aug-Sep),0.0,,,,,no,unknown
0x0018afcf37326d5fadfe117c4860008f4b0e464f,withdraw()+looseETH,2,2026-08-31,2026-09-01,2 (Aug-Sep),0.008525,Jul(0xa279ffef),0.008525,,,yes,yes
0x001af14057cf8f82c3ea9486ca33ace862218818,looseETH,0,,,,0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),,,,no,yes
0x0021fa6f87efefd277980386c760e78a2052677f,looseETH,0,,,,0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),,,,no,yes
0x00227fdd16de3d1605ece8a949ba559406f00e16,looseETH,0,,,,0.0,Aug24(0x8d7c20e3),,,,no,unknown
0x002347f3b109a799c18ef348baa418ce71658438,looseETH,0,,,,0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),,,,no,unknown
0x002355f084f385743528ec74459b8a3d63202a10,withdraw()+looseETH,1,2026-08-31,2026-08-31,2 (Aug-Sep),0.017569,Aug24(0x8d7c20e3),0.017569,,,yes,yes
0x0025345529a005b9759a90c3f605d935d19f604f,withdraw(),1,2026-05-03,2026-05-03,1 (Apr-May),0.051748,,,,,yes,yes
0x0025efb980a7ff1aebdba58656a25666691ac076,looseETH,0,,,,0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),,,,no,yes
0x0026024f1e8d8b47647f1b540850bbbe83fd26c3,withdraw()+looseETH,1,2026-08-31,2026-08-31,2 (Aug-Sep),0.090598,Jul(0xa279ffef)+Aug24(0x8d7c20e3),0.090598,,,yes,yes
0x0026060cbd654561ae492b6ccd91e7ffb1eee8ed,looseETH,0,,,,0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),,,,no,unknown
0x0026fa7d61fe3e7f5b58ee24c3a82b64c7a7707c,withdraw(),1,2026-05-03,2026-05-03,1 (Apr-May),0.003395,,,,,yes,yes
0x002813dd1a3ab202be73785efc8e8a6d09661585,looseETH,0,,,,0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),,,,no,unknown
0x002b39d73fe5cef2a75d56b31c40cbdcd5f5366c,withdraw()+looseETH,1,2026-08-31,2026-08-31,2 (Aug-Sep),0.132482,Jul(0xa279ffef),0.132482,,,yes,yes
0x002b78f788b774e83164c6da6b57bab0c68bdfb9,looseETH,0,,,,0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),,,,no,yes
0x002c8a0f4cb703d8cf54d94365245f3c2943380a,looseETH,0,,,,0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),,,,no,yes
0x002e39924ea2177ed0ce76541db64139e69a0f88,looseETH,0,,,,0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),1.9e-05,yes,,yes,yes
0x002ece639c063fa2b2dd1ff79c7b96a12f45a886,withdraw(),1,2026-09-01,2026-09-01,2 (Aug-Sep),0.003836,,0.003836,,,yes,yes
0x0030d5db9d0f1004f570d9eb8462a15cfbb4386c,withdraw()+looseETH,1,2026-09-01,2026-09-01,2 (Aug-Sep),0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),,,,no,yes
0x0031937aa7d0b6efbc80e9b0d2e2bd6797ab5d72,looseETH,0,,,,0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),,,,no,yes
0x0032024c2e8e0571edeb73e3d99a5e8483fe4f07,looseETH,0,,,,0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),,,,no,unknown
0x0035775d3cd1360d3fc79e214e2f05400846982b,looseETH,0,,,,0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),,,,no,unknown
0x00386bee6835bd6fae7b885240237ab74aa6c26e,looseETH,0,,,,0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),,,,no,yes
0x003999d0810f7be9db11b892129dc07bf77b2ebb,withdraw()+looseETH,1,2026-09-01,2026-09-01,2 (Aug-Sep),0.001058,Jul(0xa279ffef)+Aug24(0x8d7c20e3),0.001058,,,yes,yes
0x003a7e4541adb282ee58f6bb180cef7a5598efcd,looseETH,0,,,,0.0,Aug24(0x8d7c20e3),,,,no,yes
0x003abba8d38732c7c50e5eee19b3358f8190de05,withdraw()+looseETH,1,2026-08-31,2026-08-31,2 (Aug-Sep),0.008146,Jul(0xa279ffef)+Aug24(0x8d7c20e3),0.008146,,,yes,yes
0x003ae9d88877d10b6f72309c8cfbf744b3277bc1,withdraw()+looseETH,1,2026-08-31,2026-08-31,2 (Aug-Sep),0.032501,Jul(0xa279ffef)+Aug24(0x8d7c20e3),0.032501,,,yes,yes
0x003f57dc770494855335200eaf01304e1484a74e,looseETH,0,,,,0.0,Aug24(0x8d7c20e3),,,,no,yes
0x003fa932f40d48f867a3d2d4287c3a02d4568b85,looseETH,0,,,,0.0,Jul(0xa279ffef)+Aug24(0x8d7c20e3),,,,no,unknown
0x004151923708f97119c0ece057ad23bcd4f411c4,looseETH,0,,,,0.0,Jul(0xa279ffef),,,,no,unknown
0x004186a1759e6e8d0600cbef811d3622ed5cb923,withdraw(),1,2026-05-03,2026-05-03,1 (Apr-May),0.156268,,,,,yes,yes
0x00487f49c124d3adec870b4361c8e5a9ad578c37,withdraw(),1,2026-05-03,2026-05-03,1 (Apr-May),0.012356,,,,,yes,yes
0x004d99c1c71602f007203e610bbbc18be702520e,withdraw(),1,2026-05-03,2026-05-03,1 (Apr-May),0.277078,,,,,yes,yes
