addr,first_tx,funder,funder_date,fund_eth,ntx_first25,cotoken_linked
0x18f9ea49ed0f7ac72ba74d6c1d20954231c3f451,2018-08-07,0x4ce9f39d3a0426d8d1f2ad4fcff0b92e86b9b914,2018-08-07,0.205,9,False
0x1cf59dffc292455960100d893731d2841962e014,2018-08-06,0xed928a21715121f05b0c2019daaf1596bed0bc94,2018-08-06,0.5,8,False
0x226fb11e9d280e52f3aec8e09a8a158baaccfe61,2018-08-06,0x0fd081e3bb178dc45c0cb23202069dda57064258,2018-08-06,0.991,21,False
0xff707c9d76a1bd45e0b3b13b842f88544d43b967,2018-09-07,0x7df8c007659bc74ca709804c2eb8f16f15e2bc8a,2018-09-07,0.06,25,True
0xc75e503f6d5913c94af3c8597ec22f77a6683dff,2018-08-06,0xf0ad64d07500c87614ca5244a5c41001e0c0caf4,2018-08-06,0.02,7,False
0xd22887396727ea3716d8709c1d353e14a5422f41,2018-11-16,0x1b8120c53be68a0b74d96bb3217e5edc644e06ef,2018-11-16,0.002,6,False
0xe2c75b76f960f90269fb1977b21272471bf9b654,2018-11-30,0x73957709695e73fd175582105c44743cf0fb6f2f,2018-11-30,1.986,14,True
0x35d8942a0a5521c110c42d2303d2065777ad3868,2018-11-04,0x3d1efe9ae3ae05b4fbf37370a74b2c49fad0a65a,2018-11-04,0.007,6,False
0x1386b2f8672730a50a4de875a56382666dc72d3a,2018-08-09,0xecd8b3877d8e7cd0739de18a5b545bc0b3538566,2018-08-09,0.906,13,False
0x014ac7d823baec837a95a597860504900039b3f3,2018-11-16,0x556e4dffb7f90a06a13d2ae3e1b8b513f75ba37e,2018-11-16,0.01,25,True
0x03a1345c0ef375c5b0eceb943e11443a45f5272b,2018-09-21,0xc27272cef05a08abf3ec04e90d9bd8ce0ad0d4ef,2018-09-21,0.00154,5,False
0xb5bb9441695a79f1baf718d9327810ade96bea55,2018-11-05,0xb52894811df075e8c1f4dae5687c4ba1753d92a0,2018-11-05,0.02,25,True
0x1386356a962981460c3be3e34eb235bc26165791,2018-08-07,0x4ce9f39d3a0426d8d1f2ad4fcff0b92e86b9b914,2018-08-07,1.495,17,False
0x15544fd9bd0597e8f8634e270ffdffd36cef168a,2018-11-05,0xb2a48f542dc56b89b24c04076cbe565b3dc58e7b,2018-11-05,0.06459,11,False
0x5ca439a26c0df616dc06fcc7141c755a57b51b8a,2018-08-07,0x629e658aac0579494f3e3b1548cd2c0cf4599ebc,2018-08-07,0.2,9,False
0x55485368d18b49794ad66e207baf5040bcde8fca,2018-08-09,0xcc4d8bd926b8d85fece2cf2a8cf88d45f795502b,2018-08-09,1.0,25,False
0x05cae4cf9e5a2bb2a976b91d1f2bb8640c2c9213,2018-08-08,0xdb38ef20ce7ed9ac0f298ad5156ec6d6f6cc6a35,2018-08-08,0.2,25,True
0xc3873c899d8d6d8698ba43c59fd84d2df79ea620,2018-08-06,0x4ce9f39d3a0426d8d1f2ad4fcff0b92e86b9b914,2018-08-06,0.24,25,False
0x7feecb4bfb2df3f3efddddd4a6bd431040d4b156,2018-08-07,0x9acb282cc8adf1d5459cb6acaa9e67aa8ef9faa7,2018-08-07,0.02,13,False
0x68a6b4b8636751a0cfd2f8abf9aaa6956ed4f6a8,2018-08-07,0xd7a1bb26611eb6421fa581fa5552e046d2825051,2018-08-07,0.02,13,False
0x15bf8a0be7d9300e6eb1b2be96f892223117f863,2018-08-07,0x3d5ca97956ecdb67f9789330db18e7c90f689bf8,2018-08-07,0.1,16,False
