address,unclaimed_eth,cls,contract_creator,contract_factory,contract_created,first_seen,last_seen,n_tx,called_lastwinner,first_tx_to_LW,first_funder,cluster_funder,touched_by_2026_drain_infra
0xf3cb6f36fc55fca478da79a9d7c841463108dfda,163.41971044,eoa_house,,,,2018-08-29,2026-09-07,23,no,no,0x992a97309586e5c2a2056968321356c28486ac03,no,no
0x0d4a2d5a9d7fa33ecd9f378b76a3eedeaa5a1ad7,5.56826023,dead_contract,0xae587866822dced0c4b5a0b534ec025b52c4acd0,0x5d99d74f6a08da6c90790be6ff2d566dbcf01e52,2018-08-17,,,,,,,,no
0x2575405f8a94fad29ff4c7f0d9a1e5645c1abc78,5.53947132,dead_contract,0xae587866822dced0c4b5a0b534ec025b52c4acd0,0x3cc12c44c74714fe0703712ef6e1644016244c9c,2018-08-17,,,,,,,,no
0xb32b4af5917dd7f5702651182866c709d8e6b906,4.91960313,dead_contract,0xae587866822dced0c4b5a0b534ec025b52c4acd0,0x6d98bb2722dc177efd9c6dabbfb9b1f75671fe7f,2018-08-17,,,,,,,,no
0x9a2bd886ffc9a908d660f4a40918f6d26f0fcdbd,4.63025496,dead_contract,0xae587866822dced0c4b5a0b534ec025b52c4acd0,0x096372c243655ac63184afd4c255ee37bb664f5a,2018-08-17,,,,,,,,no
0x1844586de7a4a8a4b5c20468f4e30e997c6896f6,4.0803954,eoa_other,,,,2018-08-10,2026-08-24,42,yes,yes,0x0fd081e3bb178dc45c0cb23202069dda57064258,no,no
0x421454b764154b0528ea3603d0b8b934a5375180,4.06254412,dead_contract,0xae587866822dced0c4b5a0b534ec025b52c4acd0,0x18d7f94d1246f28a103da3cbc8f0683672114f9a,2018-08-17,,,,,,,,no
0xa096654d67f92a2083c91e9011a49276890c0bc4,3.59366853,dead_contract,0xae587866822dced0c4b5a0b534ec025b52c4acd0,0x6fb60c37f843beb7e73778aeedf423c8f847d771,2018-08-17,,,,,,,,no
0x328363d77f16681acb2f33b5ee07db15764c2ecf,3.17535455,eoa_other,,,,2018-08-10,2026-08-24,17,yes,yes,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,no,no
0xfbdef818da5b8ea53cb3aecfa200f0e9ba28b5ec,3.11766232,dead_contract,0x73b61a56cb93c17a1f5fb21c01cfe0fb23f132c3,0x9694dc7dee5c36a80cfd8f7aae0de0763e5ec49a,2018-08-31,,,,,,,,no
0xa1eb98400c6bc7048b62d7e90a6c5b83f43db10c,2.98516147,eoa_other,,,,2018-08-06,2026-08-24,20,yes,yes,0x2693a7d632f568f30bfb1de98730e80ec2f17a8e,no,no
0x3ee764f20ff2122dbe7b6b61f72fce4bc6963141,2.98511185,dead_contract,0xae587866822dced0c4b5a0b534ec025b52c4acd0,0x68e3731e4cec64634d5d7fad9e87402633ce1c72,2018-08-17,,,,,,,,no
0x20090e4d86925a3b557723d43ed09f876f309f6e,2.94371835,eoa_other,,,,2018-08-14,2018-08-14,50,no,no,0xc18f06e674ef00bd7a8d96e2dadc3bb6072ea335,no,no
0xa76fd42e028deca4be3f400fce06c5d9a3301a83,2.59534268,dead_contract,0xae587866822dced0c4b5a0b534ec025b52c4acd0,0x07a437fe8538f759be7e8568536610a59287664e,2018-08-17,,,,,,,,no
0x510ddb36781c8e10854cef5b07349cb8d4b61830,2.38392947,dead_contract,0x73b61a56cb93c17a1f5fb21c01cfe0fb23f132c3,0x531c135f9588b56c7b3b33f14f0795b8fa4e1bde,2018-08-17,,,,,,,,no
